review_text,stars,date
"I’m very glad to have purchased these beats from this site as this color was the last one in stock anywhere (despite being from a 3rd party vendor but I’m not paying mind to it much since they seem to be reputable for their reputation and ratings). I had one issue with purchasing AppleCare since allegedly my exact pair was a previously bought item that was returned. And if you don’t know, Apple records the initial purchase date of all of their products, including Beats. Apple support luckily was able to modify the purchase date simply by seeing my proof of purchase and I was successfully able to attach AppleCare immediately after. So, while I was happy that I easily resolved a problem that others probably would have screwed themselves since the vendor wanted me to return the item for a refund and have me buy it again. Anyway, I’m in love with the color of my new headphones and they match perfect with any outfit I wear!",Rated 4.0 out of 5,9 months ago
"Incredible price on sale at 69.99. But do some research. Note these are the outgoing model. Not USB-C charging. Forty hours play time vs 50 that Solo 4 has. Tech specs don't tell you you can only play and pause your music. No song advance. This is the same as the Solo 4. For such expensive headphones, surprised at the lack of control. I listened to music with these and find them to be lesser quality to Bose QC45. Also no option for noise canceling vs. transparency. They're uncomfortable squishing my ears to my head and pinching (glasses wearer). Disappointed. There is also no indication of left or right so you know you're wearing them appropriately. Just put them on however comfortable. Big miss on options for the full retail price. At $69.99, I feel adequate set of headphones if you can stand the pain oaired with glasses.",Rated 3.0 out of 5,10 months ago
"I recently purchased the Beats Solo3, and unfortunately, I've had a disappointing experience with them. Right from the start, I noticed a weird humming noise coming from the right ear cup. It's a constant sound that’s especially noticeable during calls, and it really disrupts the overall listening experience. While the design and fit are comfortable, the audio quality doesn’t live up to expectations because of this issue. I’ve tried troubleshooting, but nothing seems to fix the problem.",Rated 2.0 out of 5,11 months ago
"Incedible sound !!! Deep hits these hard ! it's like being at a front row concert
This is my 3rd set.

I use them for work, DJ, music producer, also for pleasure and to block out the kids!! You can not go wrong with Beats Solo 3.

Head phones are comfortable and durable. Quality is so much better than JBL OR SONY.

BUSY charge them fully in about an hour and your good for over 30 hours ! WOW !",Rated 5.0 out of 5,10 months ago
"In a nutshell, the headphones are great. The sound quality is a good neutral range, with it being a rather flat in the frequency response, but with some extra sound in the treble. It’s not a bad thing, it’s more reminiscent of the Beats Solo Pro. That said though, in plain terms it means if you want a more bass heavy set of headphones, then this might not be the best for you. There isn’t any noise cancelling either, though personally I don’t mind too much as I don’t prefer active noise cancelling. There is spatial head tracking though, and it’s pretty fun to play with. I do like the case and how it’s pretty portable. It fits easily into a small backpack, and the battery life lasts as long as you do really. I listen to music frequently throughout the day, and I can honestly go a few days, specifically 3-4 depending on use, without needing to charge. I can see this also being good for traveling as well because of it. It’s also a nice looking pair of headphones, and built with quality materials. It feels sturdy on me, and while I mostly use it at home, I would feel comfortable walking with it places. Overall, I’d recommend for a decent daily driver headphone.",Rated 5.0 out of 5,a year ago
"I purchase the Beats Solo 3 thru a pre Black Friday online deal and I saved $130 off retail. They arrived at my home the same day I purchased them. I can’t even put into words how much I love these. The sound quality is outstanding, it’s lightweight, very easy to link to my I phone and the function buttons are very easy to maneuver. It came with charger and protective carry case. THIS WAS MY BEST DEAL OF 2024. Merry Christmas to me!",Rated 5.0 out of 5,10 months ago
"I’ve had these headphones for years and they’re still going strong! I replaced the ear cushions once, which was super easy. The sound quality is fantastic and they’re not too heavy. The battery life is great and they connect instantly. They’re not too bulky, which I really like. The only downside is that wearing them for extended periods can get uncomfortable but honestly, I don’t listen for hours on end anyway, so it’s not a big deal for me.",Rated 5.0 out of 5,11 months ago
"My mom has been buying herself little cheap pairs of over the ears for years and they would work for a few months and then quit. I had asked her forever if she wanted me to get her a pair of these beats and she would always say she didn't want me to spend the money on them, well they went on a great sale so I bought them anyway. I have a pair and I absolutely love them, they are great at noise cancelling, taking calls handsfree, great battery life and sound clarity, so I'm sure she will love them too.",Rated 5.0 out of 5,10 months ago
"These are the most painful headphones on the market! They feel like 2 CRAB CLAWS PINCHING YOUR EARS after a min of wearing them! I have owned these headphones for 2 years now, and they still pinch my ears after 2 yrs of use. Within a few mins of using them, my ears are red and hot. It hurts so bad!! I don’t even have that big of a head so I don’t know why it’s pinching my ears down like a hydraulic press. I’m not exaggerating! These headphones are evil. Also, I have tried everything to stretch them out so they don’t pinch as much, but only the headband part loosened and stretched out, so now they fall off my head when I move around, but it hasn’t stopped the headphones from pinching my ears!! Nothing I’ve tried will stop the painful pinching sensation. These headphones are torture. It’s like being punched in the ears the whole time you’re wearing them. The pain is severe. I have headaches and ear pain whenever I try to use them. Why did they make this pinching effect so extreme? It’s impossible to wear them for more than a few mins. I no longer use these headphones due to all the pain it caused. It doesn’t acclimate to your head or ear shape, and my ears really suffered from using them. It’s all pain and pinch! I’m mad and regret this purchase. The only good thing I can say about them is the audio is great and they’re only $99 if you wait for them to go on sale. But don’t pay full price for these. They’re def not worth it.",Rated 1.0 out of 5,a year ago
"I bought these headphones about a month ago because I lost my Bose headphones somehow. Pros: -Good sound quality -Battery life has been great so far Cons: - They're pretty small. Both the size of the padding that goes around the ears and the length of the headphones themselves. I have a normal sized head and I wear glasses and the headphones are so tight that they press my glasses against the back of my ears which hurts. I can't wear them for more than an hour without feeling pain. It's not a problem if you don't wear glasses but just an FYI if you do. -I work from home and will listen to music on my phone and take calls from my laptop. The audio never automatically switches from my headphones to my laptop or vice versa, I always have to do it manually through Bluetooth settings which gets pretty annoying. Not sure if there is a way to change this but if there is, it's not very intuitive. I'll probably return these and look to upgrade to the bigger Beats or switch back over to Bose.",Rated 3.0 out of 5,a year ago
"Very cute headphones. There are better headphones out there for audio quality, but I'm happy with it as a casual listener. You lose some sound with these as compared with the Pros, but I'm okay with that because these are better for your ear health. My main gripe is these headphones are very glitchy. They'll sometimes randomly disconnect from my laptop to connect to my phone or vice versa - even though I've been in range of both for a half hour and have not changed anything. It's particularly frustrating when this happens while I'm on a call. Plus the button to turn the headphones on/off is annoying - I wish you could just click it and not have to hold it down. And I wish the headphones turned off automatically when you fold them up - would save so much battery. Also, these headphones use a micro-USB charger, which is completely whack in this USB-C age. I hate having to keep another cord around JUST for my headphones. Overall these headphones are fine for the sale price (I bought for $115) but if I'd bought them at full price I'd be very upset.",Rated 3.0 out of 5,a year ago
"They sounded okay. Liked the controls on the outer ear-piece. Connected to my Windows Laptop easily enough once I found how to change the settings to do so.

The band is really tight and hurt my ears especially where my glasses's arms are. Plus, even on sale, they were pricey.

I returned them and bought a different brand for half of that sale price. They fit nicely and much more comfortable. They sound as good, if not a bit better.",Rated 2.0 out of 5,10 months ago
The sound quality of these is perfect. Whatever you are listening to comes through clear and distortion free. Noise cancellation is genius so that when I want to tune out and focus on a podcast or what have you it helps heighten the experience. Listening time and quick charge make these a really good item to have on the go. Very sturdy. Quality storage case for travel. Easy connect to Bluetooth. This pair happens to be my daughter’s. Hoping for my own soon.,Rated 5.0 out of 5,11 months ago
"I love these headphones! The sound is incredible! The fit is snuggle, so there’s no issue with fixing headphone positioning every time you move your head. I've not yet used the controls on the headphones besides powering on. Speaking of power the five minute full charge OMG! I have plenty of wireless earphones, earbuds without this feature, and let me just say from experience, that the charging speed is one of the most significant features!",Rated 5.0 out of 5,10 months ago
"I don’t usually have good luck with electronics so maybe my hopes were low. These are actually very nice.
They were packed so well and slick…nice quality.
I love the looks of them.. white and flat rose pink with pink metallic accents.
The operation is easy.. no finicky buttons that are hard to find yet they don’t “stick” out either.
Sound quality is perfect for my use. I listen to audio books and music while doing chores…. Good for me. Volume goes quite high without any noticeable distortion.
I read many reviews that say they are uncomfortable but I find them perfect. I can wear them hours with no issue. Maybe not for larger people … I’m 5’3 and do have a bit smaller hat size …
Speaking of hours… I charged these when I unpacked them last week and still have not had to recharge them…. Awesome battery life.
I got these on sale for $100 off and I’m so happy I did.",Rated 5.0 out of 5,a year ago
i love these beats so much they are so durable and i can fold them up without them breaking easily which is awesome. it’s so comfortable and i never want to take them off of my ears lol. the sound quality is really good and i can hear sm better and we’ll then when i use other headphones. i recommend these because they are just so cute and not only that but they are probably the best headphones out there if you ask me.,Rated 5.0 out of 5,11 months ago
"While searching for a set of wireless headphones to use with my Apple products, I decided to take a chance on the Beats Solo 3 headset, after seeing that it featured the W1 chip from Apple. Some people might be surprised to learn that Beats is part of the Apple ecosystem and their products are designed to work well with other Apple devices. This is my first Beats product, after using all of the AirPods earbuds for years. Setup of the headphones was quick and flawless, as you would expect from an Apple product. All I had to do was turn on the headset and hold it next to my iphone. A connect animation with a picture of my headset appeared on the screen. I spent over an hour listening to music at various sound levels, different styles and used only the headphones to access Siri, control music playback and block out the moderately noisy room I was in. I left my iphone in another room because I wanted to test the strength of the Bluetooth signal. after only one hour, I was very impressed. These headphones sat on my ears without hurting my head or making me uncomfortable. Although these headphones supposedly lack ANC (active noise canceling) I did not notice any of the ambient sounds around me when I wore the headphones. I had previously been using the AirPods Pro with ANC turned on all the time. These Beats Solo 3 headphones seemed to be just as effective at blocking out the ambient noises as my AirPods Pro were. It will take a little bit of time getting used to having a physical power button to turn on and off, compared to using the AirPods and slipping them into their recharge case when I am not using them. The carrying case for the Beats headphones is a tight fit for the headphones. I was a little worried about breaking the headphones when I took them out. But I was very careful and I was able to put the headphones away without breaking them. I am very satisfied with this headset. I highly recommend it to anyone who is looking for a reliable and high quality wireless headset for their Apple device.",Rated 4.0 out of 5,a year ago
The headphones themselves are amazing. The sound quality is great as to expect with Beats and the battery life is also one of the really good qualities of these headphones. My only complaint is that they start to hurt my ears after only about 30 minutes of wearing them. My mom also owns these headphones and has the same complaint. Not sure if we just have big heads or if this is a common issue lol.,Rated 3.0 out of 5,10 months ago
"Charging was quick %26 easy and the battery so far is great. They work well for making phone calls. While they aren’t active noise canceling, the tight fit limits outside noise and works well.

Only issue for me is the tight fit - I have a bigger head and these get tight after 2 hours. I got these for long plane rides and while I haven’t used them for this yet, I think they’ll work well.",Rated 4.0 out of 5,11 months ago
I LOVE THESE SO MUCH OMGG. THEY ARE SO COMFORTABLE AND I CAN HEAR SO WELL WITH THEM. THE BATTERY LASTS ALL DAY (even more than a couple days) FOR ME AND ITS SO DURABLE AND IT CANCELS ALL OF THR NOISES WHEN I LISTEN TO ANYTHING AND IT DOESNT EVEN HAVE TO BE ON FULL BLAST!! THESE SRE SO OUTSTANDING OMG I WOULD LOVE ANOTHER PAIR! I RECOMMEND IF YOU WANT GPOD QUALITY HEADPHONES TO BUY THESE!!,Rated 5.0 out of 5,11 months ago
"I really wanted to love these but there were just a couple quirks. I have regular beats 3, non studio. I love them and was looking forward to Beats Studio. Unfortunately, I found I needed to charge these more often than my previous beats. Also, these headphones kept catching my hair, never had head phones that do this. These are great for bass, but the constant charging and hair pulling make this a no for me.",Rated 2.0 out of 5,9 months ago
"I had my heart set on these for some time. I noticed the sale and splurged on myself to get them. I followed the setup instructions. I charged and connected them. I was only able to use them briefly within a 24 hour span. They quit charging, turning on, and I got nowhere with trying to connect with a tech specialist on their website to troubleshoot the issue. Walmart was amazing in response to their 30-day return policy. I got my money back on a gift card to go towards my next order. Instead I was gifted a pair of Sony Headphones for Xmas. A brief plug for them. They are 1000% times better than the Beats in every way!!From ear comfort/coverage, to sound quality, battery life, and tech specs. I highly recommend checking out the Sony WH-1000XM4. Granted they are more in price and definitely worth every penny!!!",Rated 1.0 out of 5,a year ago
"Love the color and of course the pre black friday deal of these headphones.
They are light weight which is great but for some reason , the right ear piece doesn't fit as well as the left and pinches my ear so I find myself having to fiddle alot with it.
The sound is great for the price, replacing a 10 year old set of Beats and the sound is much improved and love that long lift battery it promises too",Rated 3.0 out of 5,10 months ago
"Vichy Liftactiv Supreme 15% Pure Vitamin C Brightening Serum offers an impressive amount of revitalising power to rejuvenate ageing and dull skin. Texture wise, it’s very light yet rich and absorbs very well leaving skin deeply nourished with hydration, it feels firmer and smoother in touch. I struggle with hyperpigmentation on my cheeks from the sun and using this serum I noticed remarkable reduction in the appearance of those dark spots and freckles. I’m very pleased with the results. I like that there is no fragrance added so it doesn’t irritate my sensitive skin. My complexion is brighter, more alive, radiant and youthful with stronger natural barrier, I feel more confident with my look. It works well with other skin care products and makeup.",Rated 4.0 out of 5,a year ago
"New is always nicer. Beyond that I can’t say I’m all that impressed for what they cost. For me this purchase was a splurge. I debated about saving longer and getting the Bose headphones I really wanted. The Beats max volume is not very loud, all regulated. They squeeze my ears. Nice for not slipping off but ears are sore after. And no matter what I do or how I go about it the headband pulls my hair EVERY time and then can get so twisted I’m breaking hair to get them off. I had a pair of cheap headphones I wore every day for over two years. Not one of the things I mentioned happened with them. And I was hard on them, day and night, for work and even to sleep. I don’t care at all for the Beats feature of folding to be compact. I do like the feature that you can charge for a quick 15 minutes and it equals like four hours of play. Haven’t tested that a whole lot, as I hardly use them so far. The sound is decent. I don’t like the power on and off button or it’s location. I would not purchase again for the price.",Rated 3.0 out of 5,a year ago
I give these Beats Solo a 4 because the sound quality is not strong enough like the first original and not enough of bass and all! When Dr Dre created the beats as he was a DJ and it was to have DJ quality with a booming system sound! Compare to these and Nick Canon Incredibles sound better then these Beats Solo 3! I’m not sure what’s going on with the beats now but they gots to do better because these are no cheap headphones!,Rated 4.0 out of 5,11 months ago
"A bit tight on ears with no adjustment option. Overall, the Solo3 set is easy to pair, great on sound and has very good battery life(4-5 days using 5 hours per day). The on button is like a grain of sand and difficult to find in the dark. Actually has a standard charging plug in that you probably already have.
Good telephone usage with no sidetone.",Rated 4.0 out of 5,10 months ago
"I have NEVER been so disappointed in an item in…I can’t say how long. I got these Beats 3 solo headphones that are great to look at, (in fact they are really cool with the pink/rose gold color. HOWEVER… about the the third day of use the ear phone part started peeling off and crumbling away for no reason. I use headphones, earbuds etc. daily, and I am so careful about how well I take care of these my family teases me. I don’t even use the same headphones or buds everyday, I actually rotate them out so it lengthens the use of the item. Plus I DO use one of them daily so I’m extra careful. But I paid RIDICULOUS for these and now I can DEFINITELY SAY that just because it’s a great brand, and you pay a big $, that really means nothing when the item falls apart like crazy. Every use pieces of foam rubber come off more and more. I even bought the extended warranty. So I am HUGELY DISAPPOINTED and WOULD NOT RECOMMEND THESE!",Rated 1.0 out of 5,a year ago
"COMFORT: I prefer the size of these to the Beats Studio. The on ear design is less bulky and the soft ear cups don't make your ears sore after wearing them for long periods of time. SOUND: These have the typical Beats sound signature. Bass forward, very dynamic. They aren't the typical neutral audiophile kind of.headphone and I don't think they are trying to be. They really good for modern hip-hop, RB and hard rock where that extra excitement and dynamics add to the overall experience. They are also great for watching videos and movies. DURABILITY: This was the only area where they fell short of my expectations. I've owned a few pairs of these and all have had the ear pads come loose or wear down in less than 2 years. They are replaceable. The in-line controls on the cable have also worn out on me on both pairs I've owned. I don't baby my equipment but I'm not rough either and haven't experienced this with other headphones",Rated 4.0 out of 5,a year ago
"I have heard such great things about these, and they're kind of disappointing. They're not bad by any means, they sound great, but there's nothing extra like everyone seems to fuss over. I've heard WAY better sound quality, of course, it costs way more. My biggest disappointment, I'm in the big head gang, and these are not for us. They're extremely tight, and they're new. I'm hoping they'll stretch out a bit with use, but only time will tell. For now they're pretty uncomfortable on my ears in 20-30 minutes. I get it, everyone doesn't have a big dome, but yeah, if you do, might not be for you. That's the headphones. Unfortunately, the customer service was a negative on my star rating, but that's not because of the headphones though. Worth mentioning that self important karens on weird power trips don't belong at the customer service desk. She goes in the back stocking",Rated 3.0 out of 5,a year ago
"Technically, I got these beats by Dr. Dre solo 3 wireless headphones for my husband when he travels for his plane rides, but I think I ended up wearing them more than he did. They fit so comfortably on my head and they cancel out noise greatly. I use them every day on my walks in the morning, and we live right next to a train. Although I can slightly hear the train noise through the headphones, they block out probably 95% of it. I charge them about once a week, but I have yet to have them actually die on me during that time.",Rated 5.0 out of 5,a year ago
"I love this! Was on sale, and it is one of the best purchases i made all year. Comes with a nice case. The battery lasts forever , easily to and from work on the train 2 hours each way, with no degredation in power or clarity. The distance I can walk and still remain connected is excellent; the phone was in my apartment on the 3rd floor, and I was in the parking lot still connected!",Rated 5.0 out of 5,10 months ago
"I have had these headphones since last year had no problems but when i owned it after 5 months the right side just cut off and the left side was the only one working. Then i went back to Hi fi to get a new pair and then 5 months later AGAIN it happened, I wouldn't recommend these headphones as its not worth the price, it makes your ears sore and the audio quality is good but the volume is BAD

What ever you do don't buy these i'd rather buy 15$ headphone from target than get this",Rated 1.0 out of 5,6 months ago
"I love ❤️ the battery life and how easily they fold up for travel. My only complaint is I wear glasses and they dig the glasses into the back of my ears making them uncomfortable.
The connection is seem less on my iPhone but when I answer calls it doesn't connect to the headphones 🎧 automatically, I have to switch it over. They are definitely a good pair of headphones.",Rated 4.0 out of 5,10 months ago
